station_id,name,lat,lon,state,elevation,total_days,observed_days,pct_observed,first_date,last_date
6021,EUDAMULLAH,-24.451,115.607,WA,,9647,5861,60.8,2000-01-01,2026-05-30
6022,GASCOYNE JUNCTION,-25.054,115.21,WA,,9647,7143,74.0,2000-01-01,2026-05-30
6023,GNARALOO,-23.822,113.526,WA,,9647,7589,78.7,2000-01-01,2026-05-30
6025,HAMELIN POOL,-26.399,114.166,WA,,9647,3898,40.4,2000-01-01,2026-05-30
6026,HAMELIN STATION,-26.428,114.192,WA,,9647,8401,87.1,2000-01-01,2026-05-30
6027,JIMBA JIMBA,-25.044,115.133,WA,,9647,9373,97.2,2000-01-01,2026-05-30
6029,LYNDON,-23.636,115.246,WA,,9647,7588,78.7,2000-01-01,2026-05-30
6030,LYONS RIVER,-24.631,115.338,WA,,9647,5725,59.3,2000-01-01,2026-05-30
6031,MANGAROON,-23.915,115.618,WA,,9647,0,0.0,2000-01-01,2026-05-30
6032,MARDATHUNA,-24.473,114.555,WA,,9647,2480,25.7,2000-01-01,2026-05-30
6033,MAROONAH,-23.48,115.548,WA,,9647,5470,56.7,2000-01-01,2026-05-30
6034,MARRON,-25.366,114.359,WA,,9647,9362,97.0,2000-01-01,2026-05-30
6035,MEADOW STATION,-26.703,114.618,WA,,9647,0,0.0,2000-01-01,2026-05-30
6036,MEEDO,-25.663,114.626,WA,,9647,3485,36.1,2000-01-01,2026-05-30
6038,MIA MIA,-23.382,114.438,WA,,9647,7252,75.2,2000-01-01,2026-05-30
6039,MINILYA,-23.85,113.971,WA,,9647,4555,47.2,2000-01-01,2026-05-30
6040,MINNIE CREEK,-24.031,115.697,WA,,9647,7662,79.4,2000-01-01,2026-05-30
6041,MOOGOOREE,-24.063,115.205,WA,,9647,0,0.0,2000-01-01,2026-05-30
6043,NEW FOREST,-27.37,115.652,WA,,9647,0,0.0,2000-01-01,2026-05-30
6044,DENHAM,-25.927,113.532,WA,,9647,9114,94.5,2000-01-01,2026-05-30
6045,TAMALA,-26.697,113.716,WA,,9647,9534,98.8,2000-01-01,2026-05-30
6046,TOWERA,-23.175,115.119,WA,,9647,89,0.9,2000-01-01,2026-05-30
6047,TOWRANA,-25.405,115.227,WA,,9647,0,0.0,2000-01-01,2026-05-30
6048,TWIN PEAKS,-27.385,115.966,WA,,9647,2158,22.4,2000-01-01,2026-05-30
6050,WANDAGEE,-23.765,114.554,WA,,9647,5791,60.0,2000-01-01,2026-05-30
6051,WANDINA,-27.986,115.631,WA,,9647,2586,26.8,2000-01-01,2026-05-30
6052,WILLIAMBURY,-23.861,115.147,WA,,9647,7814,81.0,2000-01-01,2026-05-30
6053,WINDERIE,-25.302,115.116,WA,,9647,4778,49.5,2000-01-01,2026-05-30
6054,WOODLEIGH,-26.051,114.754,WA,,9647,3852,39.9,2000-01-01,2026-05-30
6055,WOOLGORONG,-27.746,115.829,WA,,9647,8949,92.8,2000-01-01,2026-05-30
6056,WOORAMEL,-25.74,114.285,WA,,9647,6504,67.4,2000-01-01,2026-05-30
6057,YALBALGO,-25.188,114.68,WA,,9647,5477,56.8,2000-01-01,2026-05-30
6058,YALLALONG,-27.428,115.515,WA,,9647,8613,89.3,2000-01-01,2026-05-30
6059,YARINGA STATION,-25.944,114.322,WA,,9647,9314,96.5,2000-01-01,2026-05-30
6060,CARBLA STATION,-26.201,114.287,WA,,9647,6882,71.3,2000-01-01,2026-05-30
6062,CARNARVON POST OFFICE,-24.886,113.656,WA,,9647,250,2.6,2000-01-01,2026-05-30
6066,WINNING,-23.157,114.54,WA,,9647,8160,84.6,2000-01-01,2026-05-30
6068,WAHROONGA,-25.491,114.398,WA,,9647,7211,74.7,2000-01-01,2026-05-30
6069,MOUNT NARRYER,-26.59,115.927,WA,,9647,6621,68.6,2000-01-01,2026-05-30
6070,HILL SPRINGS,-24.306,114.5,WA,,9647,9598,99.5,2000-01-01,2026-05-30
6071,MUGGON,-26.617,115.547,WA,,9647,5473,56.7,2000-01-01,2026-05-30
6072,EMU CREEK STATION,-23.031,115.041,WA,,9647,8585,89.0,2000-01-01,2026-05-30
6079,ELLA VALLA,-25.088,114.384,WA,,9647,2098,21.7,2000-01-01,2026-05-30
6080,NANGA,-26.256,113.806,WA,,9647,0,0.0,2000-01-01,2026-05-30
6084,WARROORA,-23.484,113.793,WA,,9647,8634,89.5,2000-01-01,2026-05-30
6087,BRICKHOUSE WOOLSHED,-24.817,113.833,WA,,9647,0,0.0,2000-01-01,2026-05-30
6090,MEEBERRIE,-26.96,115.973,WA,,9647,0,0.0,2000-01-01,2026-05-30
6095,QUOBBA,-24.397,113.406,WA,,9647,8929,92.6,2000-01-01,2026-05-30
6099,MURCHISON,-26.896,115.957,WA,,9647,9021,93.5,2000-01-01,2026-05-30
6103,MIDDALYA,-23.906,114.768,WA,,9647,4340,45.0,2000-01-01,2026-05-30
6105,SHARK BAY AIRPORT,-25.892,113.577,WA,,9647,9346,96.9,2000-01-01,2026-05-30
6106,MOOLOO DOWNS,-25.037,115.994,WA,,9647,6301,65.3,2000-01-01,2026-05-30
7000,BARNONG,-28.629,116.281,WA,,9647,2274,23.6,2000-01-01,2026-05-30
7001,BEEBYN,-26.968,117.903,WA,,9647,6266,65.0,2000-01-01,2026-05-30
7002,BELELE,-26.361,118.028,WA,,9647,814,8.4,2000-01-01,2026-05-30
7003,BERINGARRA,-26.042,116.953,WA,,9647,5886,61.0,2000-01-01,2026-05-30
7006,BOOGARDIE,-28.041,117.67,WA,,9647,5188,53.8,2000-01-01,2026-05-30
7007,BOOLARDY,-26.984,116.535,WA,,9647,7949,82.4,2000-01-01,2026-05-30
7008,BRYAH,-25.506,118.798,WA,,9647,3190,33.1,2000-01-01,2026-05-30
7009,BULLARA,-27.483,117.3,WA,,9647,0,0.0,2000-01-01,2026-05-30
7010,BUNNAWARRA,-28.606,116.572,WA,,9647,2298,23.8,2000-01-01,2026-05-30
7011,BURNERBINMAH,-28.784,117.362,WA,,9647,5914,61.3,2000-01-01,2026-05-30
7012,BUTTAH,-26.13,118.485,WA,,9647,0,0.0,2000-01-01,2026-05-30
7014,COODARDY,-27.253,117.652,WA,,9647,9475,98.2,2000-01-01,2026-05-30
7016,COODINGNOW,-29.367,117.7,WA,,9647,0,0.0,2000-01-01,2026-05-30
